Seasons: 4644 4684 4646 4647 4648 4744
Week	Start	End	Field	Home	Away
9/19/2015	10:00	11:30	Blach	45-U14B-8	45-U14B-1	
9/26/2015	10:00	11:30	Blach	45-U14B-7	45-U14B-4	
10/3/2015	10:00	11:30	Blach	45-U14B-5	45-U14B-7	
10/17/2015	10:00	11:30	Blach	45-U14B-6	109-U14B-1	
10/24/2015	10:00	11:30	Blach	45-U14G-2	45-U14G-5	
10/31/2015	10:00	11:30	Blach	45-U14B-8	45-U14B-5	
11/7/2015	10:00	11:30	Blach	45-U14B-1	109-U14B-3	
11/14/2015	10:00	11:30	Blach	45-U14B-8	45-U14B-6	
11/21/2015	10:00	11:30	Blach	45-U14B-2	45-U14B-5	
9/12/2015	11:30	13:00	Blach	45-U14B-5	45-U14B-6	
9/19/2015	11:30	13:00	Blach	45-U14B-7	45-U14B-2	
9/26/2015	11:30	13:00	Blach	45-U14B-2	26-U14B-5	
10/3/2015	11:30	13:00	Blach	45-U14B-2	45-U14B-6	
10/17/2015	11:30	13:00	Blach	45-U14B-4	109-U14B-2	
10/24/2015	11:30	13:00	Blach	45-U14B-2	109-U14B-4	
10/31/2015	11:30	13:00	Blach	45-U14B-9	45-U14B-3	
11/7/2015	11:30	13:00	Blach	45-U14B-9	109-U14B-2	
11/14/2015	11:30	13:00	Blach	45-U14B-7	109-U14B-1	
11/21/2015	11:30	13:00	Blach	45-U14B-3	45-U14B-7	
9/19/2015	13:00	14:30	Blach	45-U14B-5	45-U14B-4	
9/26/2015	13:00	14:30	Blach	45-U14B-5	45-U14B-3	
10/3/2015	13:00	14:30	Blach	45-U14B-1	45-U14B-3	
10/17/2015	13:00	14:30	Blach	45-U14B-8	109-U14B-4	
10/24/2015	13:00	14:30	Blach	45-U14B-1	45-U14B-7	
10/31/2015	13:00	14:30	Blach	45-U14B-6	45-U14B-7	
11/7/2015	13:00	14:30	Blach	45-U14B-3	44-U14B-1	
11/14/2015	13:00	14:30	Blach	45-U14B-3	45-U14B-2	
11/21/2015	13:00	14:30	Blach	45-U14B-8	45-U14B-9	
9/19/2015	14:30	16:00	Blach	45-U14B-9	44-U14B-1	
10/24/2015	14:30	16:00	Blach	45-U14B-5	45-U14B-9	
10/31/2015	14:30	16:00	Blach	45-U14B-4	109-U14B-4	
10/24/2015	16:00	17:30	Blach	45-U14B-4	45-U14B-8	
9/12/2015	8:30	10:00	Cooper	45-U14B-7	45-U14B-8	
9/19/2015	8:30	10:00	Cooper	45-U14G-6	45-U14G-1	
9/26/2015	8:30	10:00	Cooper	45-U14G-3	45-U14G-1	
10/3/2015	8:30	10:00	Cooper	45-U14G-1	45-U14G-2	
10/10/2015	8:30	10:00	Cooper	45-U14G-4	45-U14G-2	
10/17/2015	8:30	10:00	Cooper	45-U14G-2	45-U14G-3	
10/31/2015	8:30	10:00	Cooper	45-U14G-2	45-U14G-6	
11/7/2015	8:30	10:00	Cooper	45-U14G-3	45-U14G-6	
11/14/2015	8:30	10:00	Cooper	45-U14G-6	45-U14G-4	
11/21/2015	8:30	10:00	Cooper	45-U14G-3	45-U14G-4	
9/12/2015	10:00	11:30	Cooper	45-U14G-4	109-U14G-1	
9/19/2015	10:00	11:30	Cooper	45-U14G-5	109-U14G-1	
9/26/2015	10:00	11:30	Cooper	45-U14G-5	109-U14G-4	
10/3/2015	10:00	11:30	Cooper	45-U14G-4	109-U14G-4	
10/10/2015	10:00	11:30	Cooper	45-U14G-6	44-U14G-1	
10/17/2015	10:00	11:30	Cooper	45-U14G-6	109-U14G-4	
10/31/2015	10:00	11:30	Cooper	45-U14G-1	43-U14G-2	
11/7/2015	10:00	11:30	Cooper	45-U14G-1	109-U14G-2	
11/14/2015	10:00	11:30	Cooper	45-U14G-5	109-U14G-5	
11/21/2015	10:00	11:30	Cooper	45-U14G-5	45-U14G-6	
9/12/2015	11:30	13:00	Cooper	45-U14G-5	109-U14G-2	
9/19/2015	11:30	13:00	Cooper	45-U14G-2	44-U14G-1	
9/26/2015	11:30	13:00	Cooper	45-U14G-6	109-U14G-3	
10/3/2015	11:30	13:00	Cooper	45-U14G-3	44-U14G-1	
10/10/2015	11:30	13:00	Cooper	45-U14G-5	45-U14G-1	
10/17/2015	11:30	13:00	Cooper	45-U14G-1	45-U14G-4	
10/31/2015	11:30	13:00	Cooper	45-U14G-5	45-U14G-3	
11/7/2015	11:30	13:00	Cooper	45-U14G-4	45-U14G-5	
11/14/2015	11:30	13:00	Cooper	45-U14G-1	109-U14G-3	
9/19/2015	13:00	14:30	Cooper	45-U14G-3	109-U14G-4	
9/26/2015	13:00	14:30	Cooper	45-U14B-8	109-U14B-5	
10/10/2015	13:00	14:30	Cooper	45-U14G-3	109-U14G-5	
9/26/2015	14:30	16:00	Cooper	45-U14G-4	26-U14G-3	
10/10/2015	14:30	16:00	Cooper	45-U14B-3	109-U14B-3	
10/10/2015	8:30	10:00	Stevenson	45-U14B-4	45-U14B-2	
10/10/2015	10:00	11:30	Stevenson	45-U14B-8	43-U14B-2	
10/10/2015	11:30	13:00	Stevenson	45-U14B-9	43-U14B-1	
10/10/2015	13:00	14:30	Stevenson	45-U14B-6	44-U14B-1	
10/10/2015	14:30	16:00	Stevenson	45-U14B-1	109-U14B-2	
9/12/2015	8:45	10:30	Hillview MS Menlo Park	109-U14B-2	109-U14B-3	
9/19/2015	8:45	10:30	Hillview MS Menlo Park	109-U14G-2	45-U14G-4	
9/26/2015	8:45	10:30	Hillview MS Menlo Park	109-U14G-2	109-U14G-1	
