Seasons: 4644 4684 4646 4647 4648 4744,,,,,,Week,1,9/12/2015,2,9/19/2015,3,9/26/2015,4,10/3/2015,5,10/10/2015,6,10/17/2015,7,10/24/2015,8,10/31/2015,9,11/7/2015,10,11/14/2015,11,11/21/2015,,,,
,,,,,,,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,,,,
Region,WYS Field Name,Field ID,Game Starts,Game Ends,B/G/A,Order,,,,,,,,,,,,,,,,,,,,,,,,,Constraints/Requests,
45,Cooper,751,8:30,10:00,G/B,1,45-U14B-7,45-U14B-8,45-U14G-6,45-U14G-1,45-U14G-3,45-U14G-1,45-U14G-1,45-U14G-2,45-U14G-4,45-U14G-2,45-U14G-2,45-U14G-3,,,45-U14G-2,45-U14G-6,45-U14G-3,45-U14G-6,45-U14G-6,45-U14G-4,45-U14G-3,45-U14G-4,,,,
45,Cooper,751,10:00,11:30,G/B,2,45-U14G-4,109-U14G-1,45-U14G-5,109-U14G-1,45-U14G-5,109-U14G-4,45-U14G-4,109-U14G-4,45-U14G-6,44-U14G-1,45-U14G-6,109-U14G-4,,,45-U14G-1,43-U14G-2,45-U14G-1,109-U14G-2,45-U14G-5,109-U14G-5,45-U14G-5,45-U14G-6,,,,
45,Cooper,751,11:30,13:00,G/B,3,45-U14G-5,109-U14G-2,45-U14G-2,44-U14G-1,45-U14G-6,109-U14G-3,45-U14G-3,44-U14G-1,45-U14G-5,45-U14G-1,45-U14G-1,45-U14G-4,,,45-U14G-5,45-U14G-3,45-U14G-4,45-U14G-5,45-U14G-1,109-U14G-3,,,,,,
45,Cooper,751,13:00,14:30,G/B,4,,,45-U14G-3,109-U14G-4,45-U14B-8,109-U14B-5,,,45-U14G-3,109-U14G-5,,,,,,,,,,,,,,,,
45,Cooper,751,14:30,16:00,G/B,5,,,,,45-U14G-4,26-U14G-3,,,45-U14B-3,109-U14B-3,,,,,,,,,,,,,,,,
45,Cooper,751,16:00,17:30,G/B,6,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Stevenson,27,8:30,10:00,A,1,,,,,,,,,45-U14B-4,45-U14B-2,,,,,,,,,,,,,,,,
45,Stevenson,27,10:00,11:30,A,2,,,,,,,,,45-U14B-8,43-U14B-2,,,,,,,,,,,,,,,,
45,Stevenson,27,11:30,13:00,A,3,,,,,,,,,45-U14B-9,43-U14B-1,,,,,,,,,,,,,,,,
45,Stevenson,27,13:00,14:30,A,4,,,,,,,,,45-U14B-6,44-U14B-1,,,,,,,,,,,,,,,,
45,Stevenson,27,14:30,16:00,A,5,,,,,,,,,45-U14B-1,109-U14B-2,,,,,,,,,,,,,,,,
109,Hillview MS Menlo Park,2541,8:45,10:30,A,4,109-U14B-2,109-U14B-3,109-U14G-2,45-U14G-4,109-U14G-2,109-U14G-1,109-U14B-1,44-U14B-1,109-U14B-4,109-U14B-1,109-U14G-1,109-U14G-3,109-U14G-4,109-U14G-2,109-U14B-2,109-U14B-1,109-U14G-4,109-U14G-5,109-U14G-1,25-U14G-1,,,,,,
109,Hillview MS Menlo Park,2541,10:30,12:15,A,1,109-U14B-4,109-U14B-5,109-U14B-3,26-U14B-5,109-U14G-5,45-U14G-2,109-U14B-3,45-U14B-8,109-U14B-5,45-U14B-7,109-U14G-5,109-U14G-2,109-U14G-3,109-U14G-5,109-U14B-5,109-U14B-3,109-U14G-1,45-U14G-2,109-U14G-2,45-U14G-2,,,,,,
109,Hillview MS Menlo Park,2541,12:15,14:00,A,2,109-U14G-5,45-U14G-6,109-U14B-1,43-U14B-2,109-U14B-3,109-U14B-1,109-U14G-1,109-U14G-5,109-U14G-4,109-U14G-1,109-U14B-3,45-U14B-7,109-U14B-1,109-U14B-5,109-U14G-4,109-U14G-3,109-U14B-5,26-U14B-5,109-U14B-2,109-U14B-5,,,,,,
